Key;English;;;;;;;;;;;;;
EVTNAME19356;모든 전쟁을 끝낼 전쟁;;;;;;;;;;;;;
EVTDESC19356;인류가 전례 없는 전쟁이 벌어지는 신시대로 접어들었음이 점점 분명해지고 있습니다. 우리 시대의 갈등은 이제 단순한 국지적 문제가 아니며 세계 구석구석까지 영향을 미칩니다. 날로 증가하는 이해관계와 이러한 적대관계가 관련국들에게 미치는 무서운 영향을 고려하면, 더는 스스로를 구속할 필요가 없습니다.\n\n지금부터 대전쟁이 한 진영이 전쟁목표를 기존보다 확실히 더 많이 추가하도록 허용합니다.;;;;;;;;;;;;;
EVTOPTA19356;신사양반, 내가 바라는 전쟁은 지옥마저도 떨게 할 만큼 큰 전쟁이다.;;;;;;;;;;;;;
EVTDESC19356_NEWS_LONG;인류가 전례 없는 전쟁이 벌어지는 신시대로 접어들었음이 점점 분명해지고 있습니다. 우리 시대의 갈등은 이제 단순한 국지적 문제가 아니며 세계 구석구석까지 영향을 미칩니다. 날로 증가하는 이해관계와 이러한 적대관계가 관련국들에게 미치는 무서운 영향을 고려하면, 더는 스스로를 구속할 필요가 없습니다.;;;;;;;;;;;;;
EVTDESC19356_NEWS_MEDIUM;인류가 전례 없는 전쟁이 벌어지는 신시대로 접어들었음이 점점 분명해지고 있습니다. 우리 시대의 갈등은 이제 단순한 국지적 문제가 아니며 세계 구석구석까지 영향을 미칩니다. 날로 증가하는 이해관계와 이러한 적대관계가 관련국들에게 미치는 무서운 영향을 고려하면, 더는 스스로를 구속할 필요가 없습니다.;;;;;;;;;;;;;
EVTDESC19356_NEWS_SHORT;인류가 전례 없는 전쟁이 벌어지는 신시대로 접어들었음이 점점 분명해지고 있습니다.;;;;;;;;;;;;;
ASSIMILATE_EFFECT; 주의 주민 전체를 동화합니다.\n;;;;;;;;;;;;;
WORLD_WARS_ENABLE_DESC;대전쟁이 이제 세계대전으로 확대될 수 있습니다.;;;;;;;;;;;;;
WORLD_WARS_ENABLED_DESC; = 세계대전 발견\n;;;;;;;;;;;;;
WORLD_WARS_DISABLED_DESC; ≠ 세계대전 발견\n;;;;;;;;;;;;;
SM_WINDOW;창모드;;;;;;;;;;;;;
SM_WINDOWED;창;;;;;;;;;;;;;
SM_FULLSCREEN;전체화면;;;;;;;;;;;;;
SM_BORDERLESS;경계없음;;;;;;;;;;;;;
IGNORE_DECISION_ON;해당 결정은 실행할 수 있을 때 플레이어에게 이를 알리지 않도록 설정돼있습니다.\n\n[SUB_A7]G클릭해 알림 상태를 변경합니다.[SUB_A7]W;;;;;;;;;;;;;
IGNORE_DECISION_OFF;해당 결정은 실행할 수 있을 때 플레이어에게 이를 알리도록 설정돼있습니다.\n\n[SUB_A7]G클릭해 알림 상태를 변경합니다.[SUB_A7]W;;;;;;;;;;;;;
SPLITINHALF;균등 분할;;;;;;;;;;;;;
SPLITINHALF_DRO;현재 부대를 대략 같은 크기의 두 부대로 분할하고 더 큰 부대를 선택합니다.;;;;;;;;;;;;;
